k_refl,freq_mhz,R_ohm,X_ohm,swr_50
1.047,415.0,34.62,-150.11,15.088
1.047,415.5,34.56,-147.4,14.643
1.047,416.0,34.51,-144.68,14.2
1.047,416.5,34.47,-141.95,13.759
1.047,417.0,34.44,-139.2,13.319
1.047,417.5,34.42,-136.45,12.883
1.047,418.0,34.41,-133.69,12.451
1.047,418.5,34.41,-130.91,12.02
1.047,419.0,34.42,-128.13,11.594
1.047,419.5,34.45,-125.33,11.171
1.047,420.0,34.49,-122.53,10.753
1.047,420.5,34.55,-119.72,10.34
1.047,421.0,34.62,-116.89,9.93
1.047,421.5,34.7,-114.06,9.527
1.047,422.0,34.81,-111.22,9.13
1.047,422.5,34.93,-108.38,8.74
1.047,423.0,35.08,-105.52,8.356
1.047,423.5,35.24,-102.66,7.98
1.047,424.0,35.42,-99.8,7.612
1.047,424.5,35.63,-96.93,7.252
1.047,425.0,35.85,-94.06,6.902
1.047,425.5,36.1,-91.19,6.561
1.047,426.0,36.38,-88.32,6.23
1.047,426.5,36.68,-85.45,5.909
1.047,427.0,37.0,-82.58,5.599
1.047,427.5,37.35,-79.72,5.3
1.047,428.0,37.72,-76.86,5.013
1.047,428.5,38.12,-74.02,4.738
1.047,429.0,38.54,-71.18,4.474
1.047,429.5,38.99,-68.36,4.223
1.047,430.0,39.46,-65.55,3.983
1.047,430.5,39.96,-62.77,3.756
1.047,431.0,40.48,-60.0,3.541
1.047,431.5,41.02,-57.26,3.339
1.047,432.0,41.58,-54.55,3.148
1.047,432.5,42.16,-51.86,2.968
1.047,433.0,42.75,-49.21,2.8
1.047,433.5,43.36,-46.59,2.644
1.047,434.0,43.98,-44.02,2.497
1.047,434.5,44.6,-41.48,2.361
1.047,435.0,45.22,-38.98,2.235
1.047,435.5,45.84,-36.53,2.118
1.047,436.0,46.46,-34.13,2.009
1.047,436.5,47.06,-31.77,1.909
1.047,437.0,47.64,-29.46,1.816
1.047,437.5,48.2,-27.21,1.731
1.047,438.0,48.72,-24.99,1.652
1.047,438.5,49.21,-22.83,1.579
1.047,439.0,49.65,-20.71,1.511
1.047,439.5,50.04,-18.63,1.448
1.047,440.0,50.37,-16.59,1.39
1.047,440.5,50.64,-14.59,1.335
1.047,441.0,50.83,-12.62,1.284
1.047,441.5,50.94,-10.66,1.236
1.047,442.0,50.97,-8.72,1.19
1.047,442.5,50.91,-6.79,1.145
1.047,443.0,50.75,-4.86,1.103
1.047,443.5,50.5,-2.92,1.061
1.047,444.0,50.14,-0.96,1.02
1.047,444.5,49.69,1.03,1.022
1.047,445.0,49.13,3.06,1.066
1.047,445.5,48.47,5.15,1.115
1.047,446.0,47.71,7.3,1.169
1.047,446.5,46.85,9.52,1.23
1.047,447.0,45.9,11.82,1.297
1.047,447.5,44.86,14.21,1.374
1.047,448.0,43.74,16.71,1.461
1.047,448.5,42.53,19.32,1.561
1.047,449.0,41.27,22.05,1.676
1.047,449.5,39.93,24.91,1.809
1.047,450.0,38.55,27.9,1.962
1.047,450.5,37.12,31.03,2.141
1.047,451.0,35.66,34.31,2.35
1.047,451.5,34.17,37.73,2.595
1.047,452.0,32.66,41.31,2.882
1.047,452.5,31.15,45.04,3.22
1.047,453.0,29.64,48.93,3.619
1.047,453.5,28.15,52.98,4.089
1.047,454.0,26.68,57.19,4.645
1.047,454.5,25.23,61.56,5.301
1.047,455.0,23.84,66.09,6.075
1.068,415.0,33.41,-139.74,13.783
1.068,415.5,33.57,-136.81,13.237
1.068,416.0,33.75,-133.87,12.697
1.068,416.5,33.96,-130.92,12.164
1.068,417.0,34.19,-127.96,11.638
1.068,417.5,34.45,-125.0,11.122
1.068,418.0,34.73,-122.04,10.616
1.068,418.5,35.05,-119.07,10.119
1.068,419.0,35.39,-116.1,9.635
1.068,419.5,35.76,-113.12,9.161
1.068,420.0,36.16,-110.15,8.701
1.068,420.5,36.59,-107.18,8.255
1.068,421.0,37.06,-104.21,7.823
1.068,421.5,37.56,-101.25,7.406
1.068,422.0,38.09,-98.3,7.006
1.068,422.5,38.66,-95.36,6.62
1.068,423.0,39.26,-92.43,6.252
1.068,423.5,39.89,-89.52,5.9
1.068,424.0,40.56,-86.62,5.564
1.068,424.5,41.26,-83.75,5.246
1.068,425.0,41.99,-80.89,4.945
1.068,425.5,42.76,-78.07,4.661
1.068,426.0,43.56,-75.27,4.393
1.068,426.5,44.39,-72.51,4.142
1.068,427.0,45.24,-69.78,3.906
1.068,427.5,46.13,-67.09,3.687
1.068,428.0,47.03,-64.44,3.483
1.068,428.5,47.96,-61.84,3.293
1.068,429.0,48.91,-59.29,3.117
1.068,429.5,49.87,-56.78,2.955
1.068,430.0,50.84,-54.33,2.805
1.068,430.5,51.82,-51.94,2.668
1.068,431.0,52.8,-49.6,2.541
1.068,431.5,53.77,-47.32,2.426
1.068,432.0,54.74,-45.11,2.321
1.068,432.5,55.7,-42.95,2.225
1.068,433.0,56.63,-40.86,2.137
1.068,433.5,57.53,-38.83,2.058
1.068,434.0,58.41,-36.85,1.986
1.068,434.5,59.24,-34.94,1.92
1.068,435.0,60.03,-33.09,1.861
1.068,435.5,60.77,-31.29,1.807
1.068,436.0,61.44,-29.55,1.758
1.068,436.5,62.05,-27.85,1.713
1.068,437.0,62.59,-26.2,1.672
1.068,437.5,63.05,-24.58,1.634
1.068,438.0,63.44,-23.0,1.598
1.068,438.5,63.73,-21.44,1.564
1.068,439.0,63.93,-19.9,1.532
1.068,439.5,64.03,-18.37,1.5
1.068,440.0,64.04,-16.85,1.47
1.068,440.5,63.94,-15.32,1.439
1.068,441.0,63.74,-13.78,1.409
1.068,441.5,63.43,-12.21,1.378
1.068,442.0,63.02,-10.61,1.347
1.068,442.5,62.5,-8.97,1.316
1.068,443.0,61.88,-7.28,1.284
1.068,443.5,61.16,-5.54,1.252
1.068,444.0,60.33,-3.72,1.221
1.068,444.5,59.41,-1.83,1.192
