k_refl,phi_deg,gain_dBi
1.047,0,9.94
1.047,1,9.94
1.047,2,9.93
1.047,3,9.91
1.047,4,9.88
1.047,5,9.85
1.047,6,9.81
1.047,7,9.76
1.047,8,9.7
1.047,9,9.64
1.047,10,9.57
1.047,11,9.49
1.047,12,9.4
1.047,13,9.31
1.047,14,9.2
1.047,15,9.09
1.047,16,8.97
1.047,17,8.84
1.047,18,8.71
1.047,19,8.56
1.047,20,8.41
1.047,21,8.24
1.047,22,8.07
1.047,23,7.89
1.047,24,7.7
1.047,25,7.5
1.047,26,7.29
1.047,27,7.07
1.047,28,6.84
1.047,29,6.6
1.047,30,6.34
1.047,31,6.08
1.047,32,5.8
1.047,33,5.52
1.047,34,5.22
1.047,35,4.91
1.047,36,4.58
1.047,37,4.25
1.047,38,3.9
1.047,39,3.53
1.047,40,3.15
1.047,41,2.75
1.047,42,2.34
1.047,43,1.92
1.047,44,1.47
1.047,45,1.01
1.047,46,0.52
1.047,47,0.02
1.047,48,-0.5
1.047,49,-1.04
1.047,50,-1.61
1.047,51,-2.2
1.047,52,-2.82
1.047,53,-3.46
1.047,54,-4.14
1.047,55,-4.84
1.047,56,-5.58
1.047,57,-6.35
1.047,58,-7.16
1.047,59,-8.01
1.047,60,-8.9
1.047,61,-9.85
1.047,62,-10.84
1.047,63,-11.89
1.047,64,-12.99
1.047,65,-14.16
1.047,66,-15.39
1.047,67,-16.68
1.047,68,-18.03
1.047,69,-19.4
1.047,70,-20.76
1.047,71,-22.03
1.047,72,-23.12
1.047,73,-23.9
1.047,74,-24.33
1.047,75,-24.43
1.047,76,-24.31
1.047,77,-24.07
1.047,78,-23.79
1.047,79,-23.54
1.047,80,-23.33
1.047,81,-23.17
1.047,82,-23.08
1.047,83,-23.03
1.047,84,-23.03
1.047,85,-23.06
1.047,86,-23.12
1.047,87,-23.17
1.047,88,-23.21
1.047,89,-23.23
1.047,90,-23.22
1.047,91,-23.16
1.047,92,-23.05
1.047,93,-22.89
1.047,94,-22.7
1.047,95,-22.48
1.047,96,-22.25
1.047,97,-22.01
1.047,98,-21.78
1.047,99,-21.58
1.047,100,-21.4
1.047,101,-21.26
1.047,102,-21.16
1.047,103,-21.11
1.047,104,-21.11
1.047,105,-21.17
1.047,106,-21.29
1.047,107,-21.47
1.047,108,-21.71
1.047,109,-22.0
1.047,110,-22.34
1.047,111,-22.69
1.047,112,-23.02
1.047,113,-23.27
1.047,114,-23.36
1.047,115,-23.21
1.047,116,-22.77
1.047,117,-22.07
1.047,118,-21.15
1.047,119,-20.11
1.047,120,-19.01
1.047,121,-17.9
1.047,122,-16.81
1.047,123,-15.77
1.047,124,-14.77
1.047,125,-13.82
1.047,126,-12.93
1.047,127,-12.08
1.047,128,-11.28
1.047,129,-10.52
1.047,130,-9.81
1.047,131,-9.13
1.047,132,-8.48
1.047,133,-7.87
1.047,134,-7.29
1.047,135,-6.74
1.047,136,-6.21
1.047,137,-5.71
1.047,138,-5.23
1.047,139,-4.78
1.047,140,-4.35
1.047,141,-3.93
1.047,142,-3.54
1.047,143,-3.16
1.047,144,-2.81
1.047,145,-2.46
1.047,146,-2.14
1.047,147,-1.83
1.047,148,-1.53
1.047,149,-1.25
1.047,150,-0.98
1.047,151,-0.72
1.047,152,-0.48
1.047,153,-0.24
1.047,154,-0.02
1.047,155,0.19
1.047,156,0.39
1.047,157,0.57
1.047,158,0.75
1.047,159,0.92
1.047,160,1.08
1.047,161,1.23
1.047,162,1.37
1.047,163,1.51
1.047,164,1.63
1.047,165,1.75
1.047,166,1.85
1.047,167,1.95
1.047,168,2.04
1.047,169,2.13
1.047,170,2.2
1.047,171,2.27
1.047,172,2.33
1.047,173,2.39
1.047,174,2.43
1.047,175,2.47
1.047,176,2.5
1.047,177,2.53
1.047,178,2.55
1.047,179,2.56
1.047,180,2.56
1.047,181,2.56
1.047,182,2.55
1.047,183,2.53
1.047,184,2.51
1.047,185,2.47
1.047,186,2.44
1.047,187,2.39
1.047,188,2.34
1.047,189,2.28
1.047,190,2.21
1.047,191,2.13
1.047,192,2.05
1.047,193,1.96
1.047,194,1.86
1.047,195,1.75
1.047,196,1.64
1.047,197,1.51
1.047,198,1.38
1.047,199,1.24
1.047,200,1.09
1.047,201,0.93
1.047,202,0.76
1.047,203,0.58
1.047,204,0.4
1.047,205,0.2
1.047,206,-0.01
1.047,207,-0.23
1.047,208,-0.46
1.047,209,-0.71
1.047,210,-0.96
1.047,211,-1.23
1.047,212,-1.51
1.047,213,-1.81
1.047,214,-2.12
1.047,215,-2.44
1.047,216,-2.78
1.047,217,-3.14
1.047,218,-3.51
1.047,219,-3.9
1.047,220,-4.31
1.047,221,-4.74
1.047,222,-5.19
1.047,223,-5.66
1.047,224,-6.16
1.047,225,-6.68
1.047,226,-7.22
1.047,227,-7.8
1.047,228,-8.4
1.047,229,-9.04
1.047,230,-9.7
1.047,231,-10.41
1.047,232,-11.15
1.047,233,-11.93
1.047,234,-12.76
1.047,235,-13.63
1.047,236,-14.55
1.047,237,-15.52
1.047,238,-16.53
1.047,239,-17.57
1.047,240,-18.65
1.047,241,-19.72
1.047,242,-20.76
1.047,243,-21.71
1.047,244,-22.5
1.047,245,-23.07
1.047,246,-23.39
1.047,247,-23.48
1.047,248,-23.4
1.047,249,-23.21
1.047,250,-22.97
1.047,251,-22.73
1.047,252,-22.53
1.047,253,-22.37
1.047,254,-22.27
1.047,255,-22.23
1.047,256,-22.26
1.047,257,-22.36
1.047,258,-22.53
1.047,259,-22.76
1.047,260,-23.05
1.047,261,-23.39
1.047,262,-23.79
1.047,263,-24.23
1.047,264,-24.69
1.047,265,-25.16
1.047,266,-25.6
1.047,267,-25.98
1.047,268,-26.26
1.047,269,-26.42
1.047,270,-26.45
1.047,271,-26.35
1.047,272,-26.15
1.047,273,-25.88
1.047,274,-25.58
1.047,275,-25.27
1.047,276,-25.0
1.047,277,-24.77
1.047,278,-24.59
1.047,279,-24.47
1.047,280,-24.41
1.047,281,-24.4
1.047,282,-24.41
1.047,283,-24.41
1.047,284,-24.35
1.047,285,-24.15
1.047,286,-23.75
1.047,287,-23.11
1.047,288,-22.23
1.047,289,-21.15
1.047,290,-19.96
1.047,291,-18.7
1.047,292,-17.43
1.047,293,-16.18
1.047,294,-14.97
1.047,295,-13.81
1.047,296,-12.7
1.047,297,-11.64
1.047,298,-10.63
1.047,299,-9.67
1.047,300,-8.75
1.047,301,-7.88
1.047,302,-7.04
1.047,303,-6.25
1.047,304,-5.49
1.047,305,-4.76
1.047,306,-4.07
1.047,307,-3.4
1.047,308,-2.77
1.047,309,-2.16
1.047,310,-1.57
1.047,311,-1.01
1.047,312,-0.47
1.047,313,0.05
1.047,314,0.55
1.047,315,1.03
1.047,316,1.49
1.047,317,1.94
1.047,318,2.36
1.047,319,2.77
1.047,320,3.17
1.047,321,3.54
1.047,322,3.91
1.047,323,4.26
1.047,324,4.6
1.047,325,4.92
1.047,326,5.23
1.047,327,5.53
1.047,328,5.81
1.047,329,6.09
1.047,330,6.35
1.047,331,6.6
1.047,332,6.84
1.047,333,7.07
1.047,334,7.29
1.047,335,7.5
1.047,336,7.7
1.047,337,7.89
1.047,338,8.07
1.047,339,8.25
1.047,340,8.41
1.047,341,8.56
1.047,342,8.71
1.047,343,8.84
1.047,344,8.97
1.047,345,9.09
1.047,346,9.2
1.047,347,9.31
1.047,348,9.4
1.047,349,9.49
1.047,350,9.57
1.047,351,9.64
1.047,352,9.7
1.047,353,9.76
1.047,354,9.81
1.047,355,9.85
1.047,356,9.88
1.047,357,9.91
1.047,358,9.93
1.047,359,9.94
1.047,360,9.94
1.068,0,10.28
1.068,1,10.28
1.068,2,10.27
1.068,3,10.25
1.068,4,10.23
1.068,5,10.19
1.068,6,10.15
1.068,7,10.11
1.068,8,10.05
1.068,9,9.99
1.068,10,9.92
1.068,11,9.85
1.068,12,9.76
1.068,13,9.67
1.068,14,9.57
1.068,15,9.46
1.068,16,9.35
1.068,17,9.22
1.068,18,9.09
1.068,19,8.95
1.068,20,8.8
1.068,21,8.65
1.068,22,8.48
1.068,23,8.3
1.068,24,8.12
1.068,25,7.93
1.068,26,7.72
1.068,27,7.51
1.068,28,7.29
1.068,29,7.05
1.068,30,6.81
1.068,31,6.56
1.068,32,6.29
1.068,33,6.01
1.068,34,5.72
1.068,35,5.42
1.068,36,5.11
1.068,37,4.78
1.068,38,4.44
1.068,39,4.09
1.068,40,3.72
1.068,41,3.33
1.068,42,2.93
1.068,43,2.52
1.068,44,2.08
1.068,45,1.63
1.068,46,1.16
1.068,47,0.68
1.068,48,0.17
1.068,49,-0.36
1.068,50,-0.92
1.068,51,-1.5
1.068,52,-2.1
1.068,53,-2.73
1.068,54,-3.39
1.068,55,-4.08
1.068,56,-4.81
1.068,57,-5.57
1.068,58,-6.37
1.068,59,-7.21
1.068,60,-8.1
1.068,61,-9.04
1.068,62,-10.03
1.068,63,-11.08
1.068,64,-12.2
1.068,65,-13.39
1.068,66,-14.65
1.068,67,-15.99
1.068,68,-17.41
1.068,69,-18.89
1.068,70,-20.38
1.068,71,-21.82
1.068,72,-23.05
1.068,73,-23.92
1.068,74,-24.34
1.068,75,-24.34
1.068,76,-24.07
1.068,77,-23.68
1.068,78,-23.29
1.068,79,-22.94
1.068,80,-22.68
1.068,81,-22.5
1.068,82,-22.4
1.068,83,-22.38
1.068,84,-22.42
1.068,85,-22.51
1.068,86,-22.63
1.068,87,-22.76
1.068,88,-22.87
1.068,89,-22.93
1.068,90,-22.92
1.068,91,-22.8
1.068,92,-22.58
1.068,93,-22.25
1.068,94,-21.83
1.068,95,-21.34
1.068,96,-20.82
1.068,97,-20.27
1.068,98,-19.73
1.068,99,-19.2
1.068,100,-18.7
1.068,101,-18.23
1.068,102,-17.8
1.068,103,-17.41
1.068,104,-17.06
1.068,105,-16.76
1.068,106,-16.51
1.068,107,-16.3
1.068,108,-16.13
1.068,109,-16.01
1.068,110,-15.94
1.068,111,-15.92
1.068,112,-15.94
1.068,113,-16.02
1.068,114,-16.15
1.068,115,-16.34
1.068,116,-16.58
1.068,117,-16.9
1.068,118,-17.28
1.068,119,-17.74
1.068,120,-18.28
1.068,121,-18.93
1.068,122,-19.68
1.068,123,-20.55
1.068,124,-21.56
1.068,125,-22.68
1.068,126,-23.88
1.068,127,-25.0
1.068,128,-25.72
1.068,129,-25.66
1.068,130,-24.75
1.068,131,-23.32
