k_refl,perim_mm,gain_dBi,fb_dB,R_ohm,X_ohm,swr_50
1.02,703.0,8.51,3.1,36.23,-53.95,3.419
1.022,704.3,8.64,3.4,36.48,-52.84,3.331
1.024,705.7,8.77,3.6,36.79,-51.71,3.24
1.026,707.1,8.9,3.9,37.15,-50.57,3.148
1.028,708.5,9.02,4.2,37.58,-49.42,3.054
1.03,709.9,9.14,4.5,38.08,-48.26,2.96
1.032,711.2,9.26,4.8,38.65,-47.1,2.866
1.034,712.6,9.37,5.1,39.28,-45.95,2.773
1.036,714.0,9.48,5.4,39.99,-44.8,2.681
1.038,715.4,9.58,5.7,40.78,-43.68,2.592
1.04,716.7,9.67,6.1,41.64,-42.57,2.505
1.042,718.1,9.76,6.4,42.57,-41.5,2.422
1.044,719.5,9.84,6.8,43.58,-40.46,2.344
1.046,720.9,9.91,7.2,44.66,-39.46,2.27
1.048,722.3,9.98,7.6,45.8,-38.52,2.201
1.05,723.6,10.03,8.0,47.02,-37.63,2.139
1.052,725.0,10.09,8.4,48.3,-36.8,2.082
1.054,726.4,10.13,8.8,49.63,-36.05,2.032
1.056,727.8,10.17,9.3,51.02,-35.37,1.988
1.058,729.2,10.2,9.7,52.45,-34.77,1.951
1.06,730.5,10.23,10.2,53.92,-34.26,1.92
1.062,731.9,10.25,10.7,55.42,-33.83,1.896
1.064,733.3,10.27,11.2,56.95,-33.49,1.878
1.066,734.7,10.28,11.7,58.48,-33.24,1.867
1.068,736.0,10.28,12.2,60.03,-33.09,1.861
1.07,737.4,10.29,12.8,61.57,-33.03,1.86
1.072,738.8,10.28,13.3,63.1,-33.06,1.864
1.074,740.2,10.28,13.9,64.62,-33.18,1.873
1.076,741.6,10.27,14.6,66.11,-33.38,1.885
1.078,742.9,10.26,15.2,67.56,-33.66,1.901
1.08,744.3,10.25,15.9,68.98,-34.02,1.919
1.082,745.7,10.23,16.6,70.36,-34.45,1.94
1.084,747.1,10.22,17.4,71.69,-34.95,1.962
1.086,748.4,10.2,18.2,72.97,-35.51,1.987
1.088,749.8,10.18,19.0,74.19,-36.12,2.013
1.09,751.2,10.16,19.9,75.36,-36.79,2.039
1.092,752.6,10.13,20.9,76.47,-37.49,2.067
1.094,754.0,10.11,22.0,77.51,-38.24,2.095
1.096,755.3,10.09,23.2,78.5,-39.01,2.124
1.098,756.7,10.06,24.5,79.43,-39.81,2.153
1.1,758.1,10.04,26.0,80.3,-40.63,2.181
1.102,759.5,10.01,27.7,81.1,-41.47,2.21
1.104,760.9,9.99,29.8,81.86,-42.32,2.239
1.106,762.2,9.96,32.3,82.55,-43.18,2.267
1.108,763.6,9.94,35.3,83.19,-44.04,2.296
1.11,765.0,9.91,38.1,83.78,-44.91,2.323
1.112,766.4,9.89,38.3,84.32,-45.77,2.351
1.114,767.7,9.86,35.7,84.81,-46.62,2.378
1.116,769.1,9.83,32.9,85.26,-47.47,2.404
1.118,770.5,9.81,30.7,85.67,-48.32,2.431
1.12,771.9,9.78,28.9,86.03,-49.14,2.456
