config,k_refl,gain_dBi,fb_dB
openquad,1.022,8.64,3.39
openquad,1.024,8.77,3.64
openquad,1.026,8.9,3.9
openquad,1.028,9.02,4.18
openquad,1.03,9.14,4.46
openquad,1.032,9.26,4.76
openquad,1.034,9.37,5.07
openquad,1.036,9.48,5.4
openquad,1.038,9.58,5.74
openquad,1.04,9.67,6.08
openquad,1.042,9.76,6.44
openquad,1.044,9.84,6.81
openquad,1.046,9.91,7.19
openquad,1.048,9.98,7.58
openquad,1.05,10.03,7.98
openquad,1.052,10.09,8.41
openquad,1.054,10.13,8.83
openquad,1.056,10.17,9.27
openquad,1.058,10.2,9.73
openquad,1.06,10.23,10.2
openquad,1.062,10.25,10.68
openquad,1.064,10.27,11.18
openquad,1.066,10.28,11.7
openquad,1.068,10.28,12.23
openquad,1.07,10.29,12.79
openquad,1.072,10.28,13.35
openquad,1.074,10.28,13.95
openquad,1.076,10.27,14.57
openquad,1.078,10.26,15.21
openquad,1.08,10.25,15.9
openquad,1.082,10.23,16.61
openquad,1.084,10.22,17.36
openquad,1.086,10.2,18.16
openquad,1.088,10.18,19.01
openquad,1.09,10.16,19.93
openquad,1.092,10.13,20.91
openquad,1.094,10.11,21.99
openquad,1.096,10.09,23.18
openquad,1.098,10.06,24.5
openquad,1.1,10.04,26.01
openquad,1.102,10.01,27.74
openquad,1.104,9.99,29.81
openquad,1.106,9.96,32.3
openquad,1.108,9.94,35.28
openquad,1.11,9.91,38.12
openquad,1.112,9.89,38.26
openquad,1.114,9.86,35.67
openquad,1.116,9.83,32.93
openquad,1.118,9.81,30.69
openquad,1.12,9.78,28.88
yt1vp,1.022,8.47,3.0
yt1vp,1.024,8.62,3.28
yt1vp,1.026,8.77,3.56
yt1vp,1.028,8.91,3.86
yt1vp,1.03,9.05,4.17
yt1vp,1.032,9.18,4.5
yt1vp,1.034,9.31,4.84
yt1vp,1.036,9.43,5.19
yt1vp,1.038,9.55,5.56
yt1vp,1.04,9.65,5.93
yt1vp,1.042,9.75,6.32
yt1vp,1.044,9.84,6.73
yt1vp,1.046,9.92,7.14
yt1vp,1.048,9.99,7.57
yt1vp,1.05,10.06,8.02
yt1vp,1.052,10.11,8.47
yt1vp,1.054,10.16,8.93
yt1vp,1.056,10.2,9.42
yt1vp,1.058,10.24,9.92
yt1vp,1.06,10.26,10.42
yt1vp,1.062,10.28,10.95
yt1vp,1.064,10.3,11.5
yt1vp,1.066,10.31,12.07
yt1vp,1.068,10.31,12.65
yt1vp,1.07,10.31,13.25
yt1vp,1.072,10.31,13.89
yt1vp,1.074,10.3,14.54
yt1vp,1.076,10.29,15.23
yt1vp,1.078,10.28,15.96
yt1vp,1.08,10.26,16.71
yt1vp,1.082,10.24,17.52
yt1vp,1.084,10.22,18.37
yt1vp,1.086,10.2,19.29
yt1vp,1.088,10.18,20.29
yt1vp,1.09,10.16,21.37
yt1vp,1.092,10.13,22.56
yt1vp,1.094,10.11,23.9
yt1vp,1.096,10.08,25.4
yt1vp,1.098,10.06,27.17
yt1vp,1.1,10.03,29.29
yt1vp,1.102,10.01,31.94
yt1vp,1.104,9.98,35.46
yt1vp,1.106,9.95,40.13
yt1vp,1.108,9.93,42.02
yt1vp,1.11,9.9,37.74
yt1vp,1.112,9.87,33.96
yt1vp,1.114,9.85,31.26
yt1vp,1.116,9.82,29.2
yt1vp,1.118,9.8,27.57
yt1vp,1.12,9.77,26.23
